                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1895,                 4.0417,                 4.2785,                0.00409,                0.43137,                0.00738,                0.00238,                 3.0662,                  3.995,                 4.1584,             0.00010002,             0.00010002,             0.00010002
                      2,                 3.2835,                 3.9695,                 4.2184,                0.00398,                0.42262,                0.00879,                0.00245,                 3.0633,                 3.9957,                 4.1556,             0.00020956,             0.00020956,             0.00020956
                      3,                  3.204,                 3.9299,                 4.1993,                0.00407,                0.43906,                0.00946,                0.00262,                  3.056,                 3.9942,                 4.1488,              0.0003114,              0.0003114,              0.0003114
                      4,                 3.2005,                 3.9182,                 4.1549,                0.00404,                0.43695,                0.00649,                0.00199,                 3.0478,                 3.9915,                 4.1408,             0.00040553,             0.00040553,             0.00040553
                      5,                  3.127,                 3.8074,                 4.1276,                0.00422,                0.43522,                0.00532,                0.00185,                 3.0309,                 3.9854,                 4.1241,             0.00049197,             0.00049197,             0.00049197
                      6,                 3.2418,                 3.8091,                  4.094,                0.00401,                0.42926,                0.00501,                0.00175,                 3.0316,                 3.9833,                 4.1137,              0.0005707,              0.0005707,              0.0005707
                      7,                 3.1381,                 3.8252,                 4.0281,                0.00418,                0.43311,                0.01249,                0.00435,                 3.0087,                 3.9739,                 4.0899,             0.00064173,             0.00064173,             0.00064173
                      8,                 3.1856,                 3.8027,                 3.9878,                0.00412,                0.43311,                0.01156,                 0.0034,                 2.9796,                 3.9616,                 4.0694,             0.00070506,             0.00070506,             0.00070506
                      9,                 3.1407,                 3.7335,                 3.8952,                0.00393,                0.42715,                0.00614,                 0.0021,                 3.0627,                 3.9677,                 4.1738,             0.00076069,             0.00076069,             0.00076069
                     10,                 3.0597,                 3.6677,                 3.8424,                0.00416,                0.43416,                0.00952,                0.00288,                 3.0208,                 3.9733,                 4.0819,             0.00080861,             0.00080861,             0.00080861
                     11,                 3.0723,                  3.605,                  3.757,                0.00413,                0.42926,                0.00733,                0.00237,                 3.0352,                 3.9743,                 4.1014,             0.00084884,             0.00084884,             0.00084884
                     12,                  3.062,                 3.5105,                 3.6897,                0.00383,                0.40897,                0.00499,                0.00176,                 3.0583,                  4.023,                 4.1221,             0.00088136,             0.00088136,             0.00088136
                     13,                 3.1405,                 3.5825,                 3.7178,                0.00359,                0.41772,                0.00483,                0.00155,                 3.0875,                 4.0822,                  4.032,             0.00090618,             0.00090618,             0.00090618
                     14,                  3.096,                 3.4889,                  3.622,                0.01312,                0.19276,                0.00766,                0.00214,                 3.0647,                 4.1203,                 3.8656,              0.0009233,              0.0009233,              0.0009233
                     15,                 3.0734,                 3.4284,                 3.5387,                0.03292,                0.10249,                0.01256,                0.00308,                 3.0879,                 6.3977,                 3.7267,             0.00089685,             0.00089685,             0.00089685
                     16,                 2.9802,                 3.3569,                 3.5126,                0.05058,                0.04268,                0.00913,                0.00241,                 3.0792,                 6.2655,                 3.7207,             0.00084184,             0.00084184,             0.00084184
                     17,                 3.0006,                 3.4335,                 3.5209,                0.02893,                0.05633,                0.01063,                0.00271,                 3.0567,                 4.9648,                 3.7015,             0.00078682,             0.00078682,             0.00078682
                     18,                   2.97,                 3.3853,                 3.4836,                0.09605,                0.06719,                0.01911,                 0.0046,                 2.9683,                 4.3021,                 3.5065,             0.00073181,             0.00073181,             0.00073181
                     19,                 2.9976,                 3.4144,                 3.4884,                0.01306,                0.34186,                0.03174,                0.00841,                  2.886,                 4.3307,                 3.4883,              0.0006768,              0.0006768,              0.0006768
                     20,                  2.934,                 3.3015,                 3.4061,                0.52319,                0.07142,                0.03611,                0.00757,                 2.8825,                 3.6621,                 3.4808,             0.00062179,             0.00062179,             0.00062179
                     21,                 2.7852,                 3.8971,                 3.3588,                0.39278,                0.07632,                0.03461,                 0.0077,                 2.8647,                 3.6869,                 3.4912,             0.00056678,             0.00056678,             0.00056678
